region,locationID,companyID,companyNAME,year2018
Рівненська,560932,03352142,"КП ""БЕРЕЗНЕВОДОКАНАЛ"" М.БЕРЕЗНЕ",0.176
Сумська,590424,03352455,"КП ""МIСЬКВОДОКАНАЛ"", М.СУМИ",12.56
Сумська,590877,03352716,"ВУВКГ, М.КОНОТОП",2.016
Сумська,590426,03352935,ВУВКГ М.ШОСТКА,3.862
Тернопільська,610043,03353207,"БУЧАЦЬКИЙ ККП, м.БУЧАЧ",0.108
Тернопільська,610158,03353800,"ПIДВОЛОЧИСЬКЕ УЖКГ, смт.ПIДВОЛОЧИСЬК",0.135
Тернопільська,610137,03353816,"ПОЧАЇВСЬКИЙ ККП, м.ПОЧАЇВ",0.061
Тернопільська,610249,03353851,"ЧОРТКIВСЬКЕ В У В К Г, м.ЧОРТКIВ",0.477
Хмельницька,680403,03356080,ВУЖКГ  СМТ ТЕОФIПОЛЬ,0.206
Черкаська,710177,03356996,"ХРИСТИНIВСЬКЕ ВУЖКГ, М. ХРИСТИНIВКА",0.117
Черкаська,710179,03357116,"ЧОРНОБАЇВСЬКЕ ВУЖКГ, СМТ. ЧОРНОБАЙ",0.068
Черкаська,710175,03357174,"КП ""УМАНЬВОДОКАНАЛ"", М. УМАНЬ",2.572
Чернівецька,770018,03357553,ГЛИБОЦЬКЕ ВУЖКГ,0.096
Чернігівська,740459,03357791,"ПРАТ ""КОМУНАЛЬНИК"" М. СНОВСЬК",0.039
Чернігівська,740457,03358038,ОСТЕРСЬКЕ ВУЖКГ М. ОСТЕР КОЗЕЛЕЦЬКОГО РАЙОНУ,0.019
Чернігівська,740447,03358222,"КП ""ЧЕРНIГIВВОДОКАНАЛ"" М. ЧЕРНIГIВ",14.9
Полтавська,530371,03361661,"МАШIВСЬКА ДIЛЬНИЦЯ  КП ""ПОЛТАВАВОДОКАНАЛ"" ПОР, СМТ. МАШIВКА",0.056
Полтавська,530425,03361661,"КАРЛIВСКА ДIЛЬНИЦЯ КП ""ПОЛТАВАВОДОКАНАЛ"" ПОР, М. КАРЛIВКА",0.234
Харківська,631333,03361715,"КП  ""ХАРКIВВОДОКАНАЛ""",3.259
Чернівецька,770171,03361780,"ДКП ""ЧЕРНIВЦIВОДОКАНАЛ"" м.ЧЕРНIВЦI",0.87
Чернівецька,770274,03361780,"ДКП ""ЧЕРНIВЦIВОДОКАНАЛ""",0.056
Дніпропетровська,120608,03564045,"ДМП ВКГ ""ДНIПРО-ЗАХIДНИЙ ДОНБАС"", СИНЕЛЬНИКIВСЬКИЙ Р-Н",2.176
Донецька,144815,03971003,"ТЕЛЬМАНIВСЬКЕ ВУВКГ НОВОАЗОВСЬКА ВКД КП""КОМПАНIЯ ""ВОДА ДОНБА",0.062
Львівська,461098,04371489,ДЕРЖIВСЬКА СIЛЬСЬКА РАДА,0.001
Харківська,630608,04591423,"КЗ ""ЛЮБОТИНСЬКА СПЕЦIАЛIЗОВАНА ШКОЛА-IНТЕРНАТ ""ДИВОСВIТ""",0.025
Донецька,141180,04735922,"СП ""МАРIУПОЛЬСЬКЕ БМЕУ РФ  ДОНЕЦЬКА  ЗАЛIЗНИЦЯ  ПАТ ""УКРАЇНС",0.003
Дніпропетровська,120666,04793055,"ТОВ ""ДДЗ ""ЕНЕРГОАВТОМАТИКА"", М. ДНIПРО",0.081
Черкаська,710278,05390572,"ТОВ""ЛОЗ ЧС  ДОЦ""СВIТАНОК"", С.СВИДIВОК, ЧЕРКАСЬКИЙ Р-H",0.004
Дніпропетровська,120137,05393043,"ПАТ ""ДНIПРОВСЬКИЙ МЕТКОМБIНАТ"", М. КАМЯНСЬКЕ",64.57
Дніпропетровська,120132,05393056,"ПРАТ "" ДМЗ "", М. ДНIПРО",9.41
Дніпропетровська,120136,05393079,"ПРАТ "" ЮЖКОКС"", М. КАМЯНСЬКЕ",0.038
Донецька,140744,05393725,"КП""МТТУ"",М.МАРIУПОЛЬ",0.021
Івано-Франківська,260230,05397373,"ДП ""САНАТОРIЙ ""ЧЕРЧЕ"" С.ЧЕРЧЕ РОГАТИНСЬКОГО Р-НУ",0.017
Кіровоградська,350111,05398740,"ОКВП ""ДНIПРО-КIРОВОГРАД"" ЗНАМ'ЯНСЬКЕ ВКГ",0.637
Донецька,140690,05419643,"ПРАТ ""МАРIУПОЛЬ-АВТО"",М.МАРIУПОЛЬ",0.015
Черкаська,711363,05445296,"КП ""ЧЕЛУАШ"", М.ЧЕРКАСИ",1.732
Львівська,460210,05452310,КП ЖКГ ВЕЛИКОМОСТIВСЬКОЇ МIСЬКОЇ РАДИ,0.086
Харківська,630381,05466186,"КРАСНОГРАДСЬКЕ КП ""ВОДОКАНАЛ""",0.395
Львівська,460188,05514293,САМБIРСЬКЕ ВИРОБ. УПРАВ. ВОДОПРОВIДНО-КАНАЛIЗАЦ. ГОСПОДАРСТВ,0.65
Харківська,632133,05521531,"ТОВ ""IЗЮМРИБА"",",2.055
Харківська,630723,05521608,"ТОВ ""КАРАВАНСЬКИЙ ЗАВОД КОРМОВИХ ДРIЖДЖIВ""",0.023
Донецька,142231,05524216,ТОРЕЦЬКЕ ВУВКГ М.ТОРЕЦЬК,0.135
Донецька,140752,05524328,"КП МВК,М.ХАРЦIЗСЬК",1.958
Дніпропетровська,120012,05669819,"ПРАТ ""ДНIПРОВАГОНМАШ""М. КАМЯНСЬКЕ",0.192
Житомирська,180006,05756926,"ПАТ ""ПЕРШОТРАВЕНСЬКИЙ З-Д ЕЛЕКТРОТЕХНIЧНОГО ФАРФОРУ  БАРАНIВ",0.004
Дніпропетровська,120008,05761620,"АТ ""ДНIПРОАЗОТ"", М. КАМЯНСЬКЕ",2.204
Львівська,460048,05762281,"ПАТ ""СТЕБНИЦЬКЕ ГIРНИЧО-ХIМIЧНЕ ПIДПРИЄМСТВО ""ПОЛIМIНЕРАЛ""",0.024
Сумська,590007,05766356,"ПАТ ""СУМИХIМПРОМ"", М.СУМИ",2.893
Харківська,630036,05808853,"ПАТ  ""ХАРКIВСЬКИЙ ПIДШИПНИКОВИЙ З-Д""",0.025
Львівська,460245,05932968,"КП ""СТРИЙВОДОКАНАЛ""",1.673
Харківська,630699,07904041,"ДП ""ХАРКIВСЬКИЙ ЗАВОДСПЕЦIАЛЬНИХ МАШИН""",0.004
Львівська,460865,07930854,ЯВОРIВСЬКА КЕЧ РАЙОНУ,0.119
Закарпатська,210065,08438994,"М. МУКАЧЕВО, ЗТ КЕВ, БАС.Р.ЛАТОРИЦЯ",0.008
Львівська,460787,08439994,КЕВ М. МУКАЧЕВО  ЗАХ. ТЕРИТОР. КВАРТИР.-ЕКСПЛУАТАЦIЙНОГО УПР,0.094
Рівненська,560499,08509140,В/Ч А-2798 С.ДУБИ,0.021
Донецька,140617,08563174,"ВК-82,СЕЛ.ГОСТРЕ,М.СЕЛIДОВЕ",0.036
Івано-Франківська,260315,08563636,"ДУ ""ГАЛИЦЬКИЙ ВИПРАВНИЙ ЦЕНТР (N 128)"" С.МАРIЯМПIЛЬ",0.001
Тернопільська,610060,08564475,"КОПИЧИНЕЦЬКА ВК-112, м.КОПИЧИНЦI",0.016
Тернопільська,610097,08564489,"ЗБАРАЗЬКА ВК-63, с.ДОБРИВОДИ",0.008
Харківська,631384,08564618,"ДУ ""ПОКРОВСЬКА ВК№17-СПЕЦIАЛIЗОВАНА ТУБЕРКУЛЬОЗНА ЛIКАРНЯ"",Б",0.059
Хмельницька,680318,08564788,ДУ  ШЕПЕТIВ.ВИПРАВНА  КОЛОНIЯ №98 С.КЛЕМЕНТОВIЧИЧI ШЕПЕТIВ.,0.03
Чернігівська,740749,08564972,УПРАВЛIННЯ ДПТСУ НОВГОРОД -СIВЕРСЬКА УВП №31 М. НОВГОРОД - С,0.005
Сумська,590394,08565078,"РОМЕНСЬКА ВК N56, С.ПЕРЕХРЕСТIВКА, РОМЕНСЬКИЙ Р-Н",0.021
Запорізька,231552,08680112,"ДП ""ПIДПРИЄМСТВО КАМ""ЯНСЬКА ВК №101 ""ВIЛЬНЯНСЬКОГО Р-НУ",0.063
Харківська,631381,08680906,"ДП ""ПIДПРИЄМСТВО ДЕРЖАВНОЇ КРИМIНАЛЬНО-ВИКОНАВЧОЇ СЛУЖБИ УКР",0.075
Кіровоградська,350109,13756426,"ОКВП ""ДНIПРО-КIРОВОГРАД""  ОЛЕКСАНДРIЙСЬКЕ ВКГ",2.018
Львівська,461218,13820029,"ТОВ НВП ""КОРПОРАЦIЯ КРТ""",0.016
Рівненська,560326,13995220,ДЕМИДIВСЬКЕ ВУЖКГ,0.021
Сумська,590441,13996403,"КП ""ГОСПОДАР"", СМТ.ХОТIНЬ, СУМСЬКИЙ Р-Н",0.012
Сумська,590437,14025535,"ПIДПРИЄМСТВО ""ТРОСТЯНЕЦЬКОМУНСЕРВIС"", М.ТРОСТЯНЕЦЬ",0.256
Харківська,631749,14061643,"ПВКФ ""ЛОСК"", ХАРКIВСЬКИЙ Р-Н",0.014
Харківська,631679,14107285,КЗ ЗЕЛЕНОГАЙСЬКИЙ СПЕЦIАЛЬНИЙ ЗАГАЛЬНО ОСВIТНIЙ НАВЧАЛЬНО ВИ,0.003
Хмельницька,680396,14153813,ПВКГ  М. КРАСИЛIВ,0.194
Чернівецька,770276,14257808,"ПП ""КОЛОС""",0.015
Чернівецька,770089,14271932,"УПРАВЛIННЯ ""ТЕПЛОВОДОКАНАЛ"", м.НОВОДНIСТРОВСЬК",0.255
Київська,320045,14307529,"АНТК ""АНТОНОВ"" М.2 с.м.т.ГОСТОМЕЛЬ",0.225
Дніпропетровська,120498,14308368,"ДП ВО ""ПМЗ IМ. МАКАРОВА"", М. ДНIПРО",1.368
Дніпропетровська,120074,14310112,"ДП НВО ""ПАВЛОГРАДСЬКИЙ ХIМIЧНИЙ ЗАВОД""",0.355
Дніпропетровська,120078,14311614,"АТ ""ДНIПРОПЕТРОВСЬКИЙ АГРЕГАТНИЙ ЗАВОД""",0.005
Харківська,630116,14315500,"ДП ""ХАРКIВСЬКИЙ ПРИЛАДОБУДIВНИЙ ЗАВОД IМ.Т.Г.ШЕВЧЕНКА""",0.051
Івано-Франківська,260467,14316927,"ДУ ""ДОЛИНСЬКИЙ ВИПРАВНИЙ ЦЕНТР № 118"" С. ТРОСТЯНЕЦЬ  ДОЛИНСЬ",0.002
Львівська,460903,19163911,"ТЗОВ ""ОЗЕРО""",0.003
